,location,isp,speed,images
54,Gitega-Nyarugenge,[],80 Kbps,['http://pbs.twimg.com/media/EUulnG-WkAYiH0v.jpg']
55,Biryogo,['Mango/Ktrn'],3.0 Mbps(metered) 384 Kbps(Actual Speed),['http://pbs.twimg.com/media/EUukH3lWsAI9lWW.jpg']
56,Gacuriro,['MTN'],8.2 MPs,['http://pbs.twimg.com/media/EUuPoBpXQAAbCoS.jpg']
57,Kanombe,['MTN'],,['http://pbs.twimg.com/media/EUuFs3XWoAo8lbJ.jpg']
58,,,,['http://pbs.twimg.com/media/EUuCH9mXQAE5rlL.jpg']
59,Kibagabaga,[],3.2Mps,['http://pbs.twimg.com/media/EUuB1GMXkAcFdD0.jpg']
60,Remera,['@airtelrw'],,['http://pbs.twimg.com/media/EUuAkjjXkAMNENR.jpg']
61,Kagarama,['MTN'],1.2 Mbps,['http://pbs.twimg.com/media/EUt--W5WsAcGTCI.jpg']
62,Kiyovu,['Mango'],3.3 Mbps,['http://pbs.twimg.com/media/EUt6qnKWkAUrsR9.jpg']
63,Kanombe,[],,['http://pbs.twimg.com/media/EUt1qazWkAAwlJt.jpg']
64,Kacyiru ,['MTN'],8.0  Mbps,['http://pbs.twimg.com/media/EUtt2SwWsAAUVqR.jpg']
65,,,,['http://pbs.twimg.com/media/EUtq2HzXsAEnnTs.jpg']
66,,,,['http://pbs.twimg.com/media/EUtglPjXQAQQxCW.jpg']
67,,,,['http://pbs.twimg.com/media/EUtfNFGXkAAC38J.jpg']
68,,,,['http://pbs.twimg.com/media/EUtednyXsAUxBTP.jpg']
69,Gisozi,"['MTN', '3G', '@MTNRwanda']",7.5 mbps,['http://pbs.twimg.com/media/EUtbzj-WoBE8ZCN.jpg']
70,,[],,['http://pbs.twimg.com/media/EUtXIclWkAEgxr_.jpg']
71,Kanombe,['MTN'],3.4Mbps,['http://pbs.twimg.com/media/EUtVmSgXgAIXC4E.jpg']
72,,,,['http://pbs.twimg.com/media/EUtTdK_WkAA3tY9.jpg']
73,,,,['http://pbs.twimg.com/media/EUtSxNOWkAkz2yR.jpg']
74,,"['MTN', '(', '3G', ')']",,['http://pbs.twimg.com/media/EUtOhUjXYAED0wY.jpg']
75,,,,['http://pbs.twimg.com/media/EUtH5_GX0AgQY8w.png']
76,,,,['http://pbs.twimg.com/media/EUs8OLzWAAMVq9e.jpg']
77,Kimironko,"['MTN', '4G']",3.3 Mbps,['http://pbs.twimg.com/media/EUs2zRvXsAQfd-i.jpg']
78,,,8.9 KPBS,['http://pbs.twimg.com/media/EUs1S1GX0AYiUt5.jpg']
79,Kicukiro Niboyi,,5.7Mbps,['http://pbs.twimg.com/media/EUs02KzWsAEdbwK.jpg']
80,Nyamirambo ,['Netlink'],3.0 Mbps ,['http://pbs.twimg.com/media/EUs0aiWX0AMkoJA.jpg']
81,Biryogo ,"['Airtel', '/', '3G']",,['http://pbs.twimg.com/media/EUswCwiX0AA-8Rp.jpg']
82,Muhima behind Ste Famille ,['MTN'],,['http://pbs.twimg.com/media/EUstuRgXkAMeme0.jpg']
83,Kimironko - mushimire,,1.5KBS🙄 https://t.co/9HVBjbdxEq,['http://pbs.twimg.com/media/EUsqN6XWAAMv4x4.jpg']
