location,isp,speed,images,text,time_tweet,place,location_cleaned,network_type,isp_cleaned,speed_cleaned,speed_unit
Kimihurura ,,,['http://pbs.twimg.com/media/EUsXmNTXsAExCp-.jpg'],"@kenessajr Location: Kimihurura 
Speed : 3,7 Mbps
ISP : Airtel (3G) https://t.co/wutRv58O25",2020-04-03 16:57:13,,kimihurura,,,,
Masaka ,[],550 kbps,['http://pbs.twimg.com/media/EUsXTd2XQAArvHC.jpg'],"@kenessajr Location: Masaka 
Speed: 550 kbps
ISP: MTN

N.B: Shitty AF https://t.co/M0LSEuuvah",2020-04-03 16:49:40,,masaka,,,0.55, kbps
"Kimironko, Bibare ",['@FastnetISP_RW'],21 mbps,['http://pbs.twimg.com/media/EUsWkIPWsAIbw_w.jpg'],"@kenessajr Location: Kimironko, Bibare 
ISP: @FastnetISP_RW 
Speed: 21 Mbps 

Pack 4G: Monthly smartphone premium pack https://t.co/cRWrQyeblv",2020-04-03 16:44:03,,kimironko,,fastnet,21.0, mbps
Kacyiru,['MTN'],10 mbps,['http://pbs.twimg.com/media/EUsUaYDXYAYP-Qi.jpg'],"@kenessajr Location: Kacyiru
Speed: 10 Mbps
ISP: MTN https://t.co/E1fE2lAF0h",2020-04-03 16:41:44,,kacyiru,,mtn,10.0, mbps
Kicukiro ,['MTN'],,['http://pbs.twimg.com/media/EUsTdN6WsAMT6Ul.jpg'],"@kenessajr Location:Kicukiro 
ISP:MTN https://t.co/NNhSHaMggQ",2020-04-03 16:40:26,,kicukiro,,mtn,,
Gikondo,,,['http://pbs.twimg.com/media/EUsSN_nXQAAUY-c.jpg'],"@kenessajr Location: Gikondo
I’m using Liquid Telecom https://t.co/lVrrovk78h",2020-04-03 16:37:13,,gikondo,,,,
,,,['http://pbs.twimg.com/media/EUsSCaAWoAA6n1k.jpg'],"@kenessajr Nyamirambo (green corner)

Airtel (3G) https://t.co/ofs5m17cRI",2020-04-03 16:27:55,,,,,,
kanombe                                          ISP: Mango Telecom https://t.co/ju2jZgWSNo,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUsRSiMWsAUjOGa.jpg'],@kenessajr Location: kanombe                                          ISP: Mango Telecom https://t.co/ju2jZgWSNo,2020-04-03 16:23:40,,kanombe,,mango,,
,,,['http://pbs.twimg.com/media/EUsQ-bXXYAU7sf9.jpg'],@kenessajr Canal box https://t.co/Oq6mDzC7B6,2020-04-03 16:18:14,,,,,,
Lagos.  ISP:Airtel https://t.co/Pwk3uUmCaJ,['Airtel'],,['http://pbs.twimg.com/media/EUsQPoIWoAA_eRT.jpg'],@kenessajr Location: Lagos.  ISP:Airtel https://t.co/Pwk3uUmCaJ,2020-04-03 16:17:27,,lagos.,,airtel,,
Gikondo,['Airtel'],,['http://pbs.twimg.com/media/EUsMigWXQAYbbhg.jpg'],"@kenessajr Location: Gikondo
Speed; 270 Kbps
ISP: Airtel 3G

#MyInternetSpeedRW https://t.co/FmW2eqX27B",2020-04-03 16:14:10,,gikondo,,airtel,,
Kimironko ,['Airtel'],,['http://pbs.twimg.com/media/EUsJaYYXsAEPHDP.jpg'],"@kenessajr Location: Kimironko 
Speed : 4.5Mbps
ISP: Airtel https://t.co/HDZmtKiCj6",2020-04-03 16:12:47,,kimironko,,airtel,,
Kimisagara,['Airtel'],12 mbps,['http://pbs.twimg.com/media/EUsHi-3XYAADXWa.jpg'],"@kenessajr Location: Kimisagara
Speed: 12 Mbps
ISP: Airtel https://t.co/oycDOSFUHm",2020-04-03 16:09:40,,kimisagara,,airtel,12.0, mbps
Musanze City,['Mango'],250 mbps,['http://pbs.twimg.com/media/EUsGH82XQAEuh3S.jpg'],"@kenessajr Location: Musanze City
Speed: 250 Mbps
ISP: Mango https://t.co/bHT8xdTjJE",2020-04-03 15:53:34,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",musanze,,mango,250.0, mbps
Kanombe - Nonko,"['MTN', '-']",2.8mbps,['http://pbs.twimg.com/media/EUsFTRvXkAQfq17.jpg'],"@kenessajr Location: Kanombe - Nonko
Speed: 2.8Mbps
ISP: MTN - 4GLTE

#MyInternetSpeedRw https://t.co/aM0CkeXv1a",2020-04-03 15:39:47,,kanombe,,mtn,2.8,mbps
Kacyiru,['MTN'],1.3 mbps,['http://pbs.twimg.com/media/EUsFjpjXkAEmbB0.png'],"@kenessajr Location: Kacyiru
Speed: 1.3 Mbps
ISP: MTN https://t.co/4k4n6dU3Ia",2020-04-03 15:31:37,,kacyiru,,mtn,1.3, mbps
Kicukiro Niboye,"['MTN', '😡']",14 kbps,['http://pbs.twimg.com/media/EUsE4NZWoAAtcd_.jpg'],"@kenessajr Location: Kicukiro Niboye
Speed: 14 kbps
ISP: MTN 😡 https://t.co/dJ3fgaW4aV",2020-04-03 15:25:22,,kicukiro,,mtn,0.014, kbps
Nyamirambo (Kuri 40),"['@airtelrw', '', '3G']",170kbps,['http://pbs.twimg.com/media/EUsD8KPWAAEEgc_.jpg'],"@kenessajr Location: Nyamirambo (Kuri 40)
Speed: 170kbps
ISP: @airtelrw  3G https://t.co/QEzEFHhGKm",2020-04-03 15:24:13,,nyamirambo,3G,airtel,0.17,kbps
Gihara/Kamonyi,"['Airtel', '3G']",1.9 mbps,['http://pbs.twimg.com/media/EUsCzhIXYAAEC1v.jpg'],"@kenessajr Location: Gihara/Kamonyi
Speed: 1.9 Mbps
ISP: Airtel 3G https://t.co/t0Np1TSios",2020-04-03 15:22:55,,gihara,3G,airtel,1.9, mbps
,[],3.2 mbps,['http://pbs.twimg.com/media/EUsBVX7X0AAWsKU.jpg'],"@kenessajr Location :Gacuriro
ISP:BSC
Speed:3.2 Mbps
#myinternetspeed https://t.co/bFXhpYLpjD",2020-04-03 15:19:57,,,,,3.2, mbps
,,,['http://pbs.twimg.com/media/EUsA9FdX0AIsi0h.jpg'],"@kenessajr Kimironko
MTN https://t.co/YKWOX56JrY",2020-04-03 15:15:52,,,,,,
Kacyiru,['MTN'],140kbps,['http://pbs.twimg.com/media/EUsA3FHWsAMRpyw.jpg'],"@kenessajr Location: Kacyiru
1) ISP: MTN 3G
     Speed: 140Kbps
2) ISP: Popconn
     Speed: 1.5Mbps https://t.co/fuDoEDcGJC",2020-04-03 15:11:17,,kacyiru,,mtn,0.14,kbps
Kacyiru,['Airtel'],,['http://pbs.twimg.com/media/EUsADSFWoAAtyVN.jpg'],"@kenessajr Location: Kacyiru
ISP: Airtel https://t.co/7nETaCETyP",2020-04-03 15:04:26,,kacyiru,,airtel,,
Nyamirambo,,1.4 mbps,['http://pbs.twimg.com/media/EUsAA0uXkAU8L-v.jpg'],"@kenessajr Location: Nyamirambo
Speed: 1.4 Mbps
Provider: @MTNRwanda https://t.co/YLhAgRaPEr",2020-04-03 15:02:54,,nyamirambo,,,1.4, mbps
,,,['http://pbs.twimg.com/media/EUr_gZXXsAEZblz.jpg'],@kenessajr @derrickshades Kimironko MTN 4G https://t.co/FU7NgHUkRB,2020-04-03 15:02:27,,,,,,
,,,['http://pbs.twimg.com/media/EUr-pUPXgAIbO6V.jpg'],@kenessajr Muhanga City https://t.co/oOzZ8Xa1Ta,2020-04-03 14:58:51,,,,,,
Kabeza,['@airtelrw'],130kbps ,['http://pbs.twimg.com/media/EUr9rqoWkAItXmf.jpg'],"@kenessajr Location: Kabeza
Speed:130kbps 😴
ISP:@airtelrw https://t.co/KrhMlf0q9Z",2020-04-03 14:58:47,,kabeza,,airtel,0.13,kbps
Kanombe,['Fastnet'],1.5 mbps,['http://pbs.twimg.com/media/EUr8GtSXgAEky4L.jpg'],"@kenessajr Location: Kanombe
Speed: 1.5 Mbps
ISP: Fastnet https://t.co/gGsWZELpyJ",2020-04-03 14:56:31,,kanombe,,fastnet,1.5, mbps
,"['MTN', 'mofos']",7.5mbps,['http://pbs.twimg.com/media/EUr7-fpWsAYY5zo.jpg'],"@kenessajr Locatio: Muhima
Speed: 7.5Mbps
ISP: MTN mofos https://t.co/wy5frc4i3w",2020-04-03 14:52:43,,,,mtn,7.5,mbps
Muhima,['@MangoRwanda'],,['http://pbs.twimg.com/media/EUr7IGfX0AgD_WH.jpg'],"@kenessajr Location: Muhima
ISP: @MangoRwanda https://t.co/TH7ShqrFQ5",2020-04-03 14:48:31,,muhima,,mango,,
,,,['http://pbs.twimg.com/media/EUr7CeRWkAUHI_G.jpg'],"@kenessajr Kicukiro , MTN of course https://t.co/xOW2WCxX3X",2020-04-03 14:41:38,,,,,,
,,,['http://pbs.twimg.com/media/EUr6-iIXQAAXU5U.jpg'],@kenessajr Airtel kimironko https://t.co/esty8UqikI,2020-04-03 14:41:03,,,,,,
Kibagabaga ,"['@liquidtelecom', '(Family', 'Entertainment', 'Package', '25']",3.6 mbps,['http://pbs.twimg.com/media/EUr50FGWoAId2bx.jpg'],"@kenessajr #1
Location: Kibagabaga 
Speed: 3.6 Mbps
ISP: @liquidtelecom (Family Entertainment Package 25 Mbps)

#2
Speed: 970 Kbps
ISP: @MTNRwanda 3G (Monthly 30GB for 10,000 RWF) https://t.co/OEj5aeqxS8",2020-04-03 14:37:20,,kibagabaga,,liquid,3.6, mbps
Kicukiro https://t.co/g9WcwJgV34,[],,['http://pbs.twimg.com/media/EUr476uXkAIWLr9.jpg'],"@kenessajr ISP: MTN
Location: Kicukiro https://t.co/g9WcwJgV34",2020-04-03 14:36:55,,kicukiro,,,,
Gisozi hejuru y'U rwibutso,['MTN'],,['http://pbs.twimg.com/media/EUr4d0MXYAMmQ4R.jpg'],"@kenessajr Location: Gisozi hejuru y'U rwibutso
Kbps: 410:⬇️700⬆️
ISP: MTN 4G

In my 🏠. https://t.co/YvTPWXXYjL",2020-04-03 14:36:43,,gisozi,,mtn,,
kicukiro,['trukonekt'],,['http://pbs.twimg.com/media/EUr3ntzXQAEI3pI.jpg'],"@kenessajr Location: kicukiro
ISP: trukonekt 
Speed : amase 🙄 https://t.co/pk1JJgeGC0",2020-04-03 14:31:35,,kicukiro,,trueconnect,,
Kabeza AEE https://t.co/gmZIgppmCD,['Airtel'],490kps,['http://pbs.twimg.com/media/EUr3bbNWkAEY9Qi.jpg'],"@kenessajr ISP: Airtel 
Speed: 490Kps
Location: Kabeza AEE https://t.co/gmZIgppmCD",2020-04-03 14:27:48,,kabeza,,airtel,490.0,[]
Kabeza AEE https://t.co/WnMrkxJGBH,[],360kps,['http://pbs.twimg.com/media/EUr3MSwXgAAwwMn.jpg'],"@kenessajr ISP: MTN
Speed: 360Kps
Location: Kabeza AEE https://t.co/WnMrkxJGBH",2020-04-03 14:25:44,,kabeza,,,360.0,[]
Kabeza,['MTN'],,['http://pbs.twimg.com/media/EUr16NFWsAA7DgV.jpg'],"@kenessajr Location: Kabeza
ISP: MTN https://t.co/PPY9RsSgKp",2020-04-03 14:22:02,,kabeza,,mtn,,
Rusororo,,,['http://pbs.twimg.com/media/EUr1AkPXgAEEYfr.jpg'],"@kenessajr Location: Rusororo
Provider: Mango https://t.co/aW06OvstHG",2020-04-03 14:21:09,,rusororo,,,,
Huye,"['Mango', 'Telecom']",3.2 mbps,['http://pbs.twimg.com/media/EUrzGbeUMAc-q83.jpg'],"@kenessajr Location: Huye
Speed: 3.2 Mbps
ISP: Mango Telecom https://t.co/aoIB7m2nOm",2020-04-03 14:20:08,,huye,,mango,3.2, mbps
KARURUMA ,['@MTNRwanda'],,['http://pbs.twimg.com/media/EUryrgpU4AEoz_1.jpg'],"@kenessajr Location:KARURUMA 
ISP:@MTNRwanda https://t.co/rT18W1BVKc",2020-04-03 14:14:33,,karuruma,,mtn,,
Kacyiru library,,,['http://pbs.twimg.com/media/EUrxCJtU8AEs7zD.jpg'],"@kenessajr Location: Kacyiru library
Network: @MangoRwanda 
Pack 4G: 30Mbps

Needless to say that I’m being scammed. https://t.co/X8AzfKtEJT",2020-04-03 14:10:36,,kacyiru,,,,
Musanze,[],2.3 mbps ,['http://pbs.twimg.com/media/EUrwabgUcAE6nX2.jpg'],"@kenessajr Location: Musanze
Speed:  2.3 Mbps 😑
ISP: Axiom
Network: 3G https://t.co/1JeXCgGqeN",2020-04-03 14:02:17,,musanze,,,2.3, mbps
,,,['http://pbs.twimg.com/media/EUrvMYUUMAYDcFe.jpg'],"@kenessajr Kacyiru 
1) Airtel 
2) MTN 🤦🏾‍♀️ https://t.co/OVEbrhw7nd",2020-04-03 14:00:41,,,,,,
,"['MTN', '(4G)']",3mbps,['http://pbs.twimg.com/media/EUruxItUcAo3vzK.jpg'],"@kenessajr Loc: Kibagabaga
Speed: 3Mbps
ISP: MTN (4G) https://t.co/R68NoamzF2",2020-04-03 13:53:19,,,4G,mtn,3.0,mbps
Rwamagana ,['Airtel'],3.5mbps,['http://pbs.twimg.com/media/EUruUHEUwAIWQTk.jpg'],"@kenessajr Location: Rwamagana 
Speed:3.5Mbps
Isp:Airtel https://t.co/CPMinNtyes",2020-04-03 13:50:33,,rwamagana,,airtel,3.5,mbps
,,,['http://pbs.twimg.com/media/EUrtJToUMAEWUL4.jpg'],@kenessajr Babireba gute,2020-04-03 13:49:51,,,,,,
,[],,['http://pbs.twimg.com/media/EUrsqB9UEAEVd_h.jpg'],"@kenessajr My Internet speed is 310Kbps. How FAST is your Internet? https://t.co/yo5ncvnfdO
ISP: Airtel",2020-04-03 13:47:06,,,,,,
,,,['http://pbs.twimg.com/media/EUrsr-mUwAgu1ad.jpg'],"@kenessajr Location : kanombe 
Speed : 15Mbps
ISP : MTN RWANDA https://t.co/aHkKIpQtbh",2020-04-03 13:45:12,,,,,,
Remera,['Airtel'],6.8mbps,['http://pbs.twimg.com/media/EUrsZwSUMAAaBlJ.png'],"@kenessajr Location:Remera
Speed:6.8Mbps
ISP:Airtel https://t.co/aLyq7aAy9M",2020-04-03 13:44:19,,remera,,airtel,6.8,mbps
"busogo, Musanze, north",['Airtel'],1.1 mbps,['http://pbs.twimg.com/media/EUrsYYtUYAIjTdn.jpg'],"@kenessajr Location: busogo, Musanze, north
Speed: 1.1 Mbps
ISP: Airtel https://t.co/vDGitMwdaH",2020-04-03 13:42:17,,busogo,,airtel,1.1, mbps
Kicukiro,"['@airtelrw', '']",,['http://pbs.twimg.com/media/EUrr781UEAM6TOM.jpg'],"@kenessajr Location:Kicukiro
ISP: @airtelrw  3G
Balance Now: 100626 GB https://t.co/9yVnwvkDh4",2020-04-03 13:36:59,,kicukiro,,airtel,,
busogo(Musanze),,,['http://pbs.twimg.com/media/EUrqu0yU4AEwKPd.jpg'],"@kenessajr Location:busogo(Musanze)
Network provider: @airtelrw https://t.co/FX3rywNFUC",2020-04-03 13:35:34,,busogo(musanze),,,,
Rebero,['MTN'],12 mbps,['http://pbs.twimg.com/media/EUrp8AXUcAIvK3W.jpg'],"@kenessajr Location: Rebero
Speed: 12 Mbps
ISP: MTN https://t.co/IgVMBbUGjR",2020-04-03 13:34:16,,rebero,,mtn,12.0, mbps
Kabeza ,[],,['http://pbs.twimg.com/media/EUrp45hUYAAqMPH.jpg'],"@kenessajr Location: Kabeza 
ISP: Airtel

needless to say.... I'm having a shitty day 😭🤢 https://t.co/euKK2qdu9m",2020-04-03 13:33:57,,kabeza,,,,
,,,['http://pbs.twimg.com/media/EUrpM9aU4AE0_XC.jpg'],"@kenessajr Kibagabaga
MTN https://t.co/MDezMMEWV0",2020-04-03 13:32:55,,,,,,
Kacyiru https://t.co/GKdePsqfdS,['Mtn'],,['http://pbs.twimg.com/media/EUrojKRUcAIMLzC.jpg'],"@kenessajr ISP:Mtn 🤦🏾‍♂️
Location: Kacyiru https://t.co/GKdePsqfdS",2020-04-03 13:30:58,,kacyiru,,mtn,,
,,,['http://pbs.twimg.com/media/EUroFFBUwAAeeyc.jpg'],@kenessajr @MTNRwanda enough speed for only forwarded whatsapp msgs(NHS) from Aunties https://t.co/aVpkrva64k,2020-04-03 13:25:43,,,,,,
Kimironko,"['@airtelrw', '', '-', '3G']",4.9 mbps,['http://pbs.twimg.com/media/EUrnxweUEAEkiAA.jpg'],"@kenessajr Location: Kimironko
Speed: 4.9 Mbps
ISP: @airtelrw  - 3G https://t.co/dJOno8jV9L",2020-04-03 13:24:47,,kimironko,3G,airtel,4.9, mbps
Rubilizi https://t.co/OZ6hPaOpmc,[],,['http://pbs.twimg.com/media/EUrnfCQUMAErWWv.jpg'],"@kenessajr ISP: ISPA
Package: “2MBPS dedicated” 🙄🙄
Location: Rubilizi https://t.co/OZ6hPaOpmc",2020-04-03 13:22:02,,rubilizi,,,,
,,,['http://pbs.twimg.com/media/EUrnc0-U0AggqzO.jpg'],"@kenessajr Location : nyamirambo
ISP :MTN https://t.co/S1CUq6E2kv",2020-04-03 13:19:02,,,,,,
,,,['http://pbs.twimg.com/media/EUrmKsQUwAABSN2.jpg'],@kenessajr I’m on a monthly subscription of 3G. https://t.co/xVaVJxzc9p,2020-04-03 13:16:13,,,,,,
gikondo,,,['http://pbs.twimg.com/media/EUrl0HeUEAAvcRT.jpg'],"@kenessajr Location: gikondo
Speed :2.6 MBPS
ISP : Mtn 3G https://t.co/7GGXiE5vYw",2020-04-03 13:14:08,,gikondo,,,,
Kicukiro-Niboye,"['MTN', '(4G', 'irekure)']",,['http://pbs.twimg.com/media/EUrlyY-U4AI02Dg.jpg'],"@kenessajr Location: Kicukiro-Niboye
ISP: MTN (4G irekure) https://t.co/PYjuKTOMn0",2020-04-03 13:12:55,,kicukiro,4G,mtn,,
nyamirambo cosmos https://t.co/hSXlW6dU8z,[],,['http://pbs.twimg.com/media/EUrkeQjUcAAQcXz.jpg'],"@kenessajr ISP: MTN
Location: nyamirambo cosmos https://t.co/hSXlW6dU8z",2020-04-03 13:11:29,,nyamirambo,,,,
Niboye,"['MTN', 'Rwanda', '3G']",,['http://pbs.twimg.com/media/EUrj0kuUcAAjJt8.jpg'],"@kenessajr Location: Niboye
ISP: MTN Rwanda 3G https://t.co/czCPGWpNBR",2020-04-03 13:11:23,,niboye,3G,mtn,,
Kacyiru,,,['http://pbs.twimg.com/media/EUrjiThUYAA8Xb-.jpg'],"@kenessajr Location: Kacyiru
Network: Airtel https://t.co/wkm2OIaGkg",2020-04-03 13:05:46,,kacyiru,,,,
Sonatubes ,"['Airtel', '(3G)']",7.8 mbps,['http://pbs.twimg.com/media/EUriji3UYAc7z4T.jpg'],"@kenessajr Location: Sonatubes 
Speed: 7.8 Mbps
ISP:Airtel (3G) https://t.co/cvPgFHLGZs",2020-04-03 13:04:14,,sonatubes,3G,airtel,7.8, mbps
Kimironko,[],580 kbps,['http://pbs.twimg.com/media/EUrhF3WU0AI-sYG.jpg'],"@kenessajr Location: Kimironko
Speed: 580 Kbps
ISP: MTN
😠😠😠 https://t.co/4ePktJdzPK",2020-04-03 13:04:07,,kimironko,,,0.58, kbps
Kicukiro-Niboye,"['MTN', '3G']",,['http://pbs.twimg.com/media/EUrgSSnU8AcFNA6.jpg'],"@kenessajr Location: Kicukiro-Niboye
ISP: MTN 3G https://t.co/iEbXvjZqJq",2020-04-03 12:58:45,,kicukiro,3G,mtn,,
Kicukiro-Niboye,"['3G', 'Airtel']",,['http://pbs.twimg.com/media/EUre8xmUMAc3V4o.jpg'],"@kenessajr Location: Kicukiro-Niboye
ISP: 3G Airtel https://t.co/zncY9YGyJ4",2020-04-03 12:55:43,,kicukiro,3G,airtel,,
Gisozi,[],2.5 mbps,['http://pbs.twimg.com/media/EUrergSUwAAaaM9.jpg'],"@kenessajr Location: Gisozi
Speed: 2.5 Mbps
ISP: Airtel",2020-04-03 12:54:25,,gisozi,,,2.5, mbps
Kicukiro-Niboye,['Airtel'],4.1mbps,['http://pbs.twimg.com/media/EUrdpK9U0AEDtdz.jpg'],"@kenessajr Location: Kicukiro-Niboye
Speed: 4.1Mbps
ISP: Airtel https://t.co/t751LsSskS",2020-04-03 12:54:17,,kicukiro,,airtel,4.1,mbps
Rusororo,"['@airtelrw', '3G']",,['http://pbs.twimg.com/media/EUrcpGVUcAEGRWJ.jpg'],"@kenessajr Location: Rusororo
Speed 1.3 Mbps
ISP: @airtelrw 3G https://t.co/aAMimZv9Rz",2020-04-03 12:50:00,,rusororo,3G,airtel,,
,,,['http://pbs.twimg.com/media/EUrccr1UMAA2mcF.jpg'],"@kenessajr Kimironko
MTN 3G unlimited https://t.co/pK2CyMX9Nn",2020-04-03 12:43:37,,,,,,
Kimironko,"['Mango', 'Telecom']",,['http://pbs.twimg.com/media/EUrba36UUAAF4B9.jpg'],"@kenessajr @onshimiye Location:Kimironko
ISP: Mango Telecom https://t.co/SMjl6lJeSR",2020-04-03 12:40:03,,kimironko,,mango,,
,"['Liquid', 'Telecom']",13 mbps,['http://pbs.twimg.com/media/EUrbSV8UYAAfPRH.jpg'],"@kenessajr Location : Nyarutarama
Speed: 13 Mbps 
ISP: Liquid Telecom 
Package: 25Mbps fiber unlimited https://t.co/ta2b5eE2Sj",2020-04-03 12:34:14,,,,liquid,13.0, mbps
,['Mango'],2.3 mbps,['http://pbs.twimg.com/media/EUrbPlDUwAAGwjs.jpg'],"@kenessajr Location Gishushu 
Speed: 2.3 Mbps
ISP: Mango https://t.co/mnamPK7uJU",2020-04-03 12:33:04,,,,mango,2.3, mbps
"Gasabo, Rutunga","['MTN', '4G', 'Irekure(Monthly', 'Unlimited)']",3.1 mbps,['http://pbs.twimg.com/media/EUraf69UcAEsJuQ.jpg'],"@kenessajr Location: Gasabo, Rutunga
Speed:3.1 mbps
ISP: MTN 4G Irekure(Monthly Unlimited) https://t.co/tipe438Yet",2020-04-03 12:28:31,,gasabo,4G,mtn,3.1, mbps
Gisozi near Kurwibutso,"['MTN', '3G']",240kbps,['http://pbs.twimg.com/media/EUraFI_U0AEP9Cq.jpg'],"@kenessajr Location: Gisozi near Kurwibutso
Speed: 240Kbps
ISP: MTN 3G https://t.co/aFIG6SjQQR",2020-04-03 12:24:12,,gisozi,3G,mtn,0.24,kbps
,,,['http://pbs.twimg.com/media/EUraDmxUMAAH7i8.jpg'],"@kenessajr Location : Kabeza
ISP : Airtel 
(ark iyi nishira nzajugunya simcard)
Speed : 160kbps https://t.co/FljE7GsrKO",2020-04-03 12:23:18,,,,,,
Kimihurura/Rugando,['MTN'],870 kbps,['http://pbs.twimg.com/media/EUrZmQlVAAA0eb8.jpg'],"@kenessajr Location: Kimihurura/Rugando
Speed: 870 kbps
ISP: MTN https://t.co/bq8L9LqQdY",2020-04-03 12:18:49,,kimihurura,,mtn,0.87, kbps
Ruyenzi,['@MTNRwanda'],1.4mbps,['http://pbs.twimg.com/media/EUrZYXLUcAEdUhL.jpg'],"@kenessajr Location: Ruyenzi
Speed: 1.4Mbps
ISP: @MTNRwanda 
Package: 4G unlimited internet

#MyInternetSpeedRW https://t.co/1kFQFBhon0",2020-04-03 12:18:12,,ruyenzi,,mtn,1.4,mbps
Nyabihu District,"['Mtn', '3G']",3.23; 3.60,['http://pbs.twimg.com/media/EUrVMm-UcAIqpYa.jpg'],"@kenessajr Location: Nyabihu District
Speed:3.23; 3.60
ISP: Mtn 3G https://t.co/c4jvlrOxjz",2020-04-03 12:18:04,,nyabihu,3G,mtn,3.23,[]
,,,['http://pbs.twimg.com/media/EUrUK9TUEAAM3VE.jpg'],"@kenessajr @Ninsiima250 Nyakabanda, MTN3G (screenshot) 
Nyakabanda, MANGO 4G platinum yo iri kuri 100Kbps https://t.co/xIHS0yDt6q",2020-04-03 12:14:48,,,,,,
,,,['http://pbs.twimg.com/media/EUrTYbYU0AIWRWX.png'],"@kenessajr #RwOT 
Location : kimironko
Speed : 700 kps
ISP : Netpro 4G
#MyInternetSpeedRw https://t.co/i6nAn9tUsF",2020-04-03 12:13:10,,,,,,
,,,['http://pbs.twimg.com/media/EUrTFCSVAAct2jG.jpg'],"@kenessajr 1.4 Mbps
Remera
MTN https://t.co/frka4Fgxq4",2020-04-03 12:12:51,,,,,,
,,,['http://pbs.twimg.com/media/EUrSyaAUwAE_j6u.png'],"@kenessajr @gadha Location : Kicukiro (Gikondo)
Internet : MTN 3G
Bundle : 500 RWF (Weekly 800MB) https://t.co/NLzEj8i72q",2020-04-03 12:11:55,,,,,,
Remera,"['Mango', '4G']",1.2mbps,['http://pbs.twimg.com/media/EUrRp1RU4AASELB.jpg'],"@kenessajr Location: Remera
Speed: 1.2Mbps
ISP: Mango 4G https://t.co/HMeLhMyNWq",2020-04-03 12:09:54,,remera,4G,mango,1.2,mbps
Kagarama ,['@mtnrwanda'],,['http://pbs.twimg.com/media/EUrRd2TU0AANsOt.jpg'],"@kenessajr Location: Kagarama 
4G 
ISP: @mtnrwanda https://t.co/NSkDb3Lkq0",2020-04-03 11:51:41,,kagarama,,mtn,,
Kanombe,['MTN'],2.7 mbps,['http://pbs.twimg.com/media/EUrQ5zTU4AA_QTt.jpg'],"@kenessajr I am using two ISP’s

Location: Kanombe

ISP: MTN 3G
Speed: 2.7 Mbps 

ISP: Airtel 3G
Speed: 2.5 Mbps https://t.co/SGmjDdwNYf",2020-04-03 11:47:09,"Place(_api=<tweepy.api.API object at 0x1122451d0>, id='84f644e036f3dcb0', url='https://api.twitter.com/1.1/geo/id/84f644e036f3dcb0.json', place_type='country', name='Rwanda', full_name='Rwanda', country_code='RW', country='Rwanda', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x1122451d0>, type='Polygon', coordinates=[[[28.8617568, -2.8387274], [30.8993559, -2.8387274], [30.8993559, -1.0474785], [28.8617568, -1.0474785]]]), attributes={})",kanombe,,mtn,2.7, mbps
Kimironko,"['Truconnect', '4G']",5.7 mbps,['http://pbs.twimg.com/media/EUrQ3WHUwAIaSqN.jpg'],"@kenessajr @onshimiye Location: Kimironko
Speed: 5.7 Mbps
ISP: Truconnect 4G https://t.co/lGSGBY5nNx",2020-04-03 11:43:40,,kimironko,4G,trueconnect,5.7, mbps
Kisimenti ,"['Airtel', '3G']",,['http://pbs.twimg.com/media/EUrQM_dUcAAKtk-.jpg'],"@kenessajr Location: Kisimenti 
ISP: Airtel 3G https://t.co/TFrKpJJ9Jb",2020-04-03 11:42:22,,kisimenti,3G,airtel,,
Nyamirambo,"['Airtel', '3G']",2.4 mbps,['http://pbs.twimg.com/media/EUrPrZFUcAEq_UZ.jpg'],"@kenessajr Location: Nyamirambo
Speed: 2.4 Mbps
ISP: Airtel 3G https://t.co/IAUV8V5FmW",2020-04-03 11:41:04,,nyamirambo,3G,airtel,2.4, mbps
,"['MTN', '3G']","920kbps , isp: mtn 3g https://t.co/up9blf9hxk",['http://pbs.twimg.com/media/EUrPH1RVAAE3U4c.jpg'],"@kenessajr Location : Bumbogo , speed: 920kbps , ISP: MTN 3G https://t.co/Up9BLf9HxK",2020-04-03 11:36:28,,,3G,mtn,0.92,kbps
,,,['http://pbs.twimg.com/media/EUrOTgZU4AE7vcp.jpg'],"@kenessajr Location : Nyamirambo (Baoba)
Speed : 250 kbps 😏
ISP : @MangoRwanda https://t.co/EgFGp60MhV",2020-04-03 11:35:31,,,,,,
Gisozi,"['airtel', '3G']",1.3 mbps,['http://pbs.twimg.com/media/EUrOEGBUUAMlbrb.jpg'],"@kenessajr Location: Gisozi
Speed: 1.3 mbps
ISP: airtel 3G https://t.co/Wg7kTRUC4X",2020-04-03 11:32:54,,gisozi,3G,airtel,1.3, mbps
